Linux 4.15.0-211-generic (133414165dce) 	06/24/23 	_x86_64_	(96 CPU)

00:32:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:38:01        all      0.19      0.01      0.93      0.00      0.00     98.87
00:38:02        all      0.18      0.01      0.95      0.00      0.00     98.86
00:38:03        all      0.18      0.01      0.99      0.00      0.00     98.82
00:38:04        all      0.19      0.02      0.95      0.00      0.00     98.84
00:38:05        all      0.20      0.00      0.99      0.00      0.00     98.81
00:38:06        all     38.61      0.01      4.83      0.00      0.00     56.55
00:38:07        all     25.20      0.03      1.55      0.00      0.00     73.22
00:38:08        all      0.50      0.01      1.72      0.00      0.00     97.77
00:38:09        all      0.20      0.01      0.97      0.00      0.00     98.82
00:38:10        all      0.18      0.01      1.02      0.01      0.00     98.78
00:38:11        all      0.19      0.02      1.06      0.00      0.00     98.73
00:38:12        all      0.21      0.01      0.97      0.00      0.00     98.81
00:38:13        all      0.24      0.02      1.10      0.00      0.00     98.64
00:38:14        all      0.47      0.02      1.26      0.02      0.00     98.22
00:38:15        all      0.44      0.02      1.32      0.03      0.00     98.19
00:38:16        all      0.24      0.02      0.95      0.00      0.00     98.79
00:38:17        all      0.20      0.02      1.08      0.00      0.00     98.70
00:38:18        all      0.51      0.02      1.84      0.00      0.00     97.63
00:38:19        all      0.22      0.02      0.99      0.00      0.00     98.77
00:38:20        all     25.90      0.01      4.42      0.00      0.00     69.67
00:38:21        all     15.66      0.01      1.31      0.00      0.00     83.03
00:38:22        all      0.16      0.01      1.03      0.00      0.00     98.80
00:38:23        all      0.27      0.02      0.96      0.00      0.00     98.75
00:38:24        all      0.23      0.01      0.95      0.00      0.00     98.81
00:38:25        all      0.21      0.00      0.94      0.00      0.00     98.85
00:38:26        all      0.20      0.02      1.01      0.00      0.00     98.77
00:38:27        all      0.17      0.02      1.09      0.00      0.00     98.73
00:38:28        all      0.43      0.01      1.92      0.00      0.00     97.64
00:38:29        all      0.18      0.02      1.00      0.00      0.00     98.80
00:38:30        all      0.21      0.01      0.96      0.00      0.00     98.82
00:38:31        all      0.22      0.01      0.96      0.00      0.00     98.81
00:38:32        all      0.23      0.01      0.95      0.00      0.00     98.81
00:38:33        all      0.18      0.01      0.98      0.00      0.00     98.83
00:38:34        all      0.21      0.01      0.99      0.00      0.00     98.79
00:38:35        all     23.80      0.02      4.47      0.00      0.00     71.71
00:38:36        all     34.97      0.02      1.69      0.00      0.00     63.33
00:38:37        all      0.23      0.01      1.06      0.00      0.00     98.70
00:38:38        all      0.50      0.01      1.74      0.00      0.00     97.74
00:38:39        all      0.18      0.02      1.00      0.00      0.00     98.80
00:38:40        all      0.25      0.01      0.97      0.00      0.00     98.77
00:38:41        all      0.19      0.03      1.01      0.00      0.00     98.77
00:38:42        all      0.18      0.00      0.99      0.00      0.00     98.83
00:38:43        all      0.25      0.02      1.01      0.00      0.00     98.72
00:38:44        all      0.19      0.02      1.00      0.00      0.00     98.79
00:38:45        all      0.22      0.00      0.96      0.00      0.00     98.82
00:38:46        all      0.25      0.02      0.89      0.00      0.00     98.84
00:38:47        all      0.21      0.00      0.98      0.00      0.00     98.81
00:38:48        all      0.54      0.02      1.74      0.00      0.00     97.69
00:38:49        all      0.23      0.02      0.96      0.00      0.00     98.79
00:38:50        all      0.27      0.04      1.04      0.00      0.00     98.64
00:38:51        all      6.31      0.02      1.79      0.00      0.00     91.87
00:38:52        all     50.24      0.02      4.18      0.00      0.00     45.56
00:38:53        all     10.24      0.02      1.23      0.00      0.00     88.51
00:38:54        all      0.20      0.00      1.05      0.00      0.00     98.75
00:38:55        all      0.22      0.04      1.07      0.00      0.00     98.66
00:38:56        all      0.23      0.02      0.97      0.00      0.00     98.78
00:38:57        all      0.20      0.02      1.01      0.00      0.00     98.77
00:38:58        all      0.58      0.02      1.69      0.00      0.00     97.70
00:38:59        all      0.21      0.02      1.06      0.00      0.00     98.71
00:39:00        all      0.21      0.00      1.04      0.00      0.00     98.75
00:39:01        all      0.27      0.02      0.94      0.00      0.00     98.77
00:39:02        all      0.23      0.00      0.96      0.00      0.00     98.81
00:39:03        all      0.23      0.02      1.00      0.00      0.00     98.75
00:39:04        all      0.19      0.00      1.02      0.00      0.00     98.79
00:39:05        all      0.18      0.03      1.00      0.00      0.00     98.79
00:39:06        all      0.24      0.01      1.13      0.00      0.00     98.62
00:39:07        all      6.40      0.02      1.12      0.00      0.00     92.46
00:39:08        all     47.73      0.01      5.93      0.00      0.00     46.32
00:39:09        all      5.01      0.02      1.31      0.00      0.00     93.66
00:39:10        all      0.24      0.03      1.03      0.00      0.00     98.70
00:39:11        all      0.18      0.00      1.01      0.00      0.00     98.81
